City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,6.81,65,100,3.09,AR,1682317218
1,invercargill,-46.4,168.35,11.68,82,92,0.89,NZ,1682317060
2,puerto natales,-51.7236,-72.4875,6.67,98,100,0.75,CL,1682317219
3,fale old settlement,-9.3852,-171.2468,28.11,74,35,0.87,TK,1682317219
4,grytviken,-54.2811,-36.5092,1.5,83,54,10.64,GS,1682317219
5,buka,40.8108,69.1986,26.21,22,86,2.81,UZ,1682317220
6,atafu village,-8.5421,-172.5159,28.91,72,30,1.75,TK,1682316979
7,shimanovsk,52.0,127.7,8.4,18,3,5.2,RU,1682317220
8,port-aux-francais,-49.35,70.2167,4.42,62,88,14.49,TF,1682317221
9,yellowknife,62.456,-114.3525,0.31,86,20,2.06,CA,1682317221
10,sars,56.5502,57.1366,12.95,52,100,3.38,RU,1682317221
11,blackmans bay,-43.0167,147.3167,18.72,61,1,1.63,AU,1682317222
12,paghman,34.5875,68.9533,16.81,17,6,2.07,AF,1682317222
13,san patricio,28.017,-97.5169,17.93,86,100,5.56,US,1682317222
14,canutama,-6.5339,-64.3831,22.14,99,81,1.11,BR,1682317223
15,iqaluit,63.7506,-68.5145,-0.15,100,100,1.54,CA,1682317223
16,saki,8.6667,3.3833,23.12,93,100,1.92,NG,1682317223
17,papatowai,-46.5619,169.4708,9.23,71,60,7.07,NZ,1682317224
18,talnakh,69.4865,88.3972,2.34,84,68,4.0,RU,1682317224
19,waitangi,-43.9535,-176.5597,8.79,87,100,0.89,NZ,1682317224
20,formosa,-26.1775,-58.1781,18.87,85,0,0.45,AR,1682317225
21,oranjemund,-28.55,16.4333,15.48,91,99,1.38,NA,1682317225
22,puerto ayora,-0.7393,-90.3518,25.31,94,48,1.79,EC,1682317226
23,hermanus,-34.4187,19.2345,17.67,93,100,6.01,ZA,1682317226
24,coahuayana de hidalgo,18.7,-103.6583,23.05,87,70,1.29,MX,1682317226
25,kodiak,57.79,-152.4072,-0.27,59,100,9.26,US,1682317226
26,jamestown,42.097,-79.2353,4.77,92,100,2.06,US,1682317227
27,mar del plata,-38.0023,-57.5575,14.41,96,100,2.06,AR,1682316997
28,wailua homesteads,22.0669,-159.378,24.24,93,75,2.57,US,1682317227
29,celestun,20.8667,-90.4,28.52,57,18,5.71,MX,1682317228
30,genhe,50.7833,121.5167,5.46,28,98,5.9,CN,1682317228
31,mount gambier,-37.8333,140.7667,23.21,37,0,1.08,AU,1682317228
32,gravellona toce,45.9286,8.4321,12.41,88,100,1.84,IT,1682317229
33,new norfolk,-42.7826,147.0587,19.38,44,1,0.45,AU,1682317229
34,port mathurin,-19.6833,63.4167,26.11,82,19,8.34,MU,1682317229
35,mananara,-16.1667,49.7667,27.58,76,38,1.56,MG,1682317230
36,rio grande,-32.035,-52.0986,19.39,92,100,4.33,BR,1682317230
37,severo-yeniseyskiy,60.3725,93.0408,4.24,81,100,4.09,RU,1682317230
38,rovaniemi,66.5,25.7167,-1.33,46,0,5.14,FI,1682317231
39,edinburgh of the seven seas,-37.0676,-12.3116,14.15,65,79,9.76,SH,1682317231
40,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,56,75,5.0,RU,1682317232
41,arraial do cabo,-22.9661,-42.0278,21.05,75,0,2.31,BR,1682317232
42,luau,-10.7073,22.2247,19.91,87,96,1.2,AO,1682317232
43,bredasdorp,-34.5322,20.0403,18.13,90,100,2.64,ZA,1682317233
44,tiksi,71.6872,128.8694,-5.82,86,47,3.12,RU,1682317233
45,bethel,41.3712,-73.414,8.44,86,30,0.45,US,1682317233
46,umuarama,-23.7664,-53.325,18.55,84,92,2.52,BR,1682317234
47,polyarnyy,69.1989,33.4478,-2.2,80,17,5.78,RU,1682317234
48,ilulissat,69.2167,-51.1,0.01,100,100,1.54,GL,1682317234
49,georgetown,5.4112,100.3354,32.96,66,20,4.12,MY,1682317235
50,gadzhiyevo,69.2551,33.3362,-2.62,82,23,6.1,RU,1682317235
51,nogliki,51.8333,143.1667,3.38,66,35,7.03,RU,1682317236
52,ribeira grande,38.5167,-28.7,17.22,88,75,7.2,PT,1682317236
53,margaret river,-33.95,115.0667,12.9,74,83,6.47,AU,1682317236
54,guerrero negro,27.9769,-114.0611,14.6,85,0,4.37,MX,1682317237
55,woodfield,34.0593,-80.9309,17.9,58,100,3.09,US,1682317237
56,kapa'a,22.0752,-159.319,24.99,93,75,2.57,US,1682317237
57,cape coast,5.1053,-1.2466,26.59,84,100,1.21,GH,1682317237
58,udachny,66.4167,112.4,-2.18,79,87,1.32,RU,1682317238
59,raduzhny,62.0961,77.475,-0.51,81,100,7.93,RU,1682317238
60,barcelos,41.5388,-8.6151,15.47,96,98,0.95,PT,1682317238
61,port elizabeth,-33.918,25.5701,19.16,93,20,2.57,ZA,1682317238
62,la'ie,21.6477,-157.9253,25.0,76,97,1.24,US,1682317239
63,enewetak,11.3474,162.3373,27.11,83,100,8.08,MH,1682317239
64,hasaki,35.7333,140.8333,17.38,43,100,4.73,JP,1682317240
65,stanley,54.868,-1.6985,4.33,87,0,3.6,GB,1682317183
66,utrik,11.2278,169.8474,26.85,83,41,8.94,MH,1682317241
67,san luis,-33.295,-66.3356,14.01,84,100,3.28,AR,1682317020
68,saint-philippe,-21.3585,55.7679,28.77,67,21,4.81,RE,1682317241
69,adamstown,-25.066,-130.1015,24.2,90,98,7.09,PN,1682317242
70,luderitz,-26.6481,15.1594,15.87,66,84,2.55,NA,1682317153
71,ban karon,7.8477,98.2985,33.95,65,96,1.22,TH,1682317242
72,al bayda,32.7627,21.7551,16.64,56,73,2.58,LY,1682317243
73,malango,-2.9627,119.9001,24.87,91,68,0.96,ID,1682317243
74,labuan,5.2767,115.2417,32.2,66,20,3.6,MY,1682317243
75,fort bragg,35.139,-79.006,15.32,72,40,1.54,US,1682317005
76,abu jibeha,11.4562,31.2285,31.41,40,66,6.39,SD,1682317244
77,bilibino,68.0546,166.4372,-0.84,76,1,2.56,RU,1682317244
78,berezovo,63.9381,65.0419,-0.74,55,7,6.87,RU,1682317245
79,berezovyy,51.6667,135.7,5.9,52,100,5.31,RU,1682317245
80,magong,23.5654,119.5863,22.35,86,92,9.44,TW,1682317246
81,nyurba,63.2842,118.3319,0.05,83,17,2.87,RU,1682317246
82,callaway,30.153,-85.5699,19.44,63,75,4.12,US,1682317247
83,taltal,-25.4,-70.4833,16.87,86,6,0.73,CL,1682317247
84,marksville,31.128,-92.0662,12.7,77,100,4.79,US,1682317231
85,labrador city,52.9463,-66.9114,-3.05,93,0,1.54,CA,1682317247
86,labytnangi,66.6572,66.4183,-5.62,78,28,6.37,RU,1682317248
87,kapuskasing,49.4169,-82.4331,-1.95,93,75,2.06,CA,1682317248
88,palmerston,-12.486,130.9833,33.35,53,0,6.69,AU,1682317248
89,port alfred,-33.5906,26.891,22.1,59,100,3.21,ZA,1682317249
90,nizhneangarsk,55.7833,109.55,-3.61,69,25,1.95,RU,1682317249
91,hammerfest,70.6634,23.6821,-0.75,80,40,3.09,NO,1682317249
92,bantay,17.5847,120.3892,32.2,88,48,5.0,PH,1682317249
93,floriano,-6.7669,-43.0225,21.68,81,56,0.72,BR,1682317250
94,axim,4.8699,-2.2405,26.52,85,100,0.93,GH,1682316980
95,safi,32.1667,-8.8333,13.53,66,0,4.0,MA,1682317250
96,alofi,-19.0595,-169.9187,23.94,83,75,2.06,NU,1682317251
97,puerto armuelles,8.2833,-82.8667,25.5,83,7,1.99,PA,1682317251
98,velikiye luki,56.34,30.5452,13.6,64,65,4.35,RU,1682317251
99,kristiansund,63.1115,7.732,2.36,75,75,6.17,NO,1682317252
100,kalmunai,7.4167,81.8167,31.38,63,99,3.96,LK,1682317252
101,eirunepe,-6.6603,-69.8736,21.97,99,74,0.69,BR,1682317252
102,thakhek,17.4103,104.8307,32.06,34,99,3.02,LA,1682317253
103,balabac,7.9868,117.0645,30.45,66,100,4.46,PH,1682317253
104,hithadhoo,-0.6,73.0833,29.27,68,100,2.31,MV,1682317253
105,haiku-pauwela,20.9219,-156.3051,22.8,83,75,1.54,US,1682317254
106,zholymbet,51.7433,71.7122,6.92,88,48,6.97,KZ,1682317254
107,abu dhabi,24.4667,54.3667,32.06,30,0,1.54,AE,1682317248
108,gonabad,34.3529,58.6837,25.9,13,98,5.92,IR,1682317254
109,sachin,21.0833,72.8833,33.92,35,58,1.16,IN,1682317255
110,anahuac,27.2333,-100.15,14.6,80,100,4.39,MX,1682317255
111,tillaberi,14.2117,1.4531,27.58,11,34,2.8,NE,1682317255
112,tsaratanana,-16.7833,47.65,27.89,66,0,0.26,MG,1682317256
113,kachug,53.9606,105.8817,7.16,25,0,1.02,RU,1682317256
114,sinop,41.7711,34.8709,7.24,98,100,1.53,TR,1682317257
115,hastings,50.8552,0.5729,8.32,50,23,3.57,GB,1682317257
116,hadibu,12.65,54.0333,29.52,59,94,0.4,YE,1682317257
117,uturoa,-16.7333,-151.4333,27.14,79,71,3.57,PF,1682317258
118,lompoc,34.6391,-120.4579,12.66,81,100,10.28,US,1682317197
119,le luc,43.3932,6.3147,16.17,64,9,3.09,FR,1682317259
120,yuzhno-kurilsk,44.0306,145.8556,4.92,63,100,1.9,RU,1682317259
121,kayangel,8.0823,134.7173,28.54,68,96,1.95,PW,1682317259
122,ust-nera,64.5667,143.2,-3.3,88,100,3.67,RU,1682317260
123,cidreira,-30.1811,-50.2056,20.63,86,95,5.94,BR,1682317260
124,zhanaozen,43.3,52.8,23.67,21,96,11.94,KZ,1682317260
125,alice springs,-23.7,133.8833,27.75,26,8,3.09,AU,1682317261
126,daru,-9.0763,143.2092,28.33,79,100,4.63,PG,1682317261
127,whitehorse,60.7161,-135.0538,4.43,81,100,3.09,CA,1682317262
128,pechora,65.1472,57.2244,-1.77,70,18,5.46,RU,1682317262
129,chantonnay,46.687,-1.0502,8.18,92,55,2.52,FR,1682317262
130,tabou,4.423,-7.3528,26.36,87,100,2.22,CI,1682317263
131,ondjiva,-17.0667,15.7333,20.51,68,45,2.08,AO,1682317263
132,st. john's,47.5649,-52.7093,2.66,96,100,9.83,CA,1682317200
133,albany,42.6001,-73.9662,5.36,83,99,3.58,US,1682316689
134,la trinite,14.7376,-60.9629,24.91,49,0,1.54,MQ,1682317264
135,pangody,65.85,74.4859,-1.83,94,100,8.54,RU,1682317264
136,hawaiian paradise park,19.5933,-154.9731,23.73,91,100,1.54,US,1682317265
137,sao gabriel da cachoeira,-0.1303,-67.0892,22.24,99,36,0.58,BR,1682317265
138,shache,38.4167,77.2406,22.62,14,2,2.87,CN,1682317265
139,masterton,-40.9597,175.6575,9.38,82,24,3.1,NZ,1682317266
140,santa terezinha,-29.9002,-50.0904,19.76,87,95,5.56,BR,1682317266
141,pointe-du-lac,46.2869,-72.6845,6.99,92,100,4.12,CA,1682317266
142,weno,7.4515,151.8468,30.97,74,40,3.09,FM,1682317267
143,san luis de since,9.2439,-75.1468,23.52,85,24,2.05,CO,1682317267
144,homer,59.6425,-151.5483,2.93,57,0,1.79,US,1682317267
145,ninghai,29.2892,121.4247,14.02,92,100,3.47,CN,1682317267
146,ola,59.5833,151.2833,3.97,75,100,6.91,RU,1682317268
147,ben gardane,33.1378,11.2197,16.75,50,0,1.6,TN,1682317268
148,madera,37.1666,-119.8343,19.05,93,2,1.99,US,1682317269
149,kuta,-8.7233,115.1723,30.97,70,20,6.26,ID,1682317269
150,alto barinas,8.5931,-70.2261,23.04,100,86,3.26,VE,1682317269
151,ceres,37.5949,-120.9577,16.56,68,0,3.09,US,1682317110
152,lebu,-37.6167,-73.65,10.92,87,5,3.4,CL,1682317051
153,puerto deseado,-47.7503,-65.8938,11.58,69,16,6.54,AR,1682317270
154,hobyo,5.3505,48.5268,29.57,69,99,4.21,SO,1682317270
155,longyearbyen,78.2186,15.6401,-9.09,79,0,2.06,SJ,1682317271
